image_id,question,answer,label,question_type,tumor_class,pred_idx,predicted
notumor_243,Is there a tumor visible in this MRI scan?,no,79,binary,no tumor,79,no
pituitary_002,What type of brain tumor is shown?,pituitary tumor,85,open_ended,pituitary,85,pituitary tumor
pituitary_244,Where is the tumor located?,sellar and suprasellar region,159,open_ended,pituitary,160,sellar region
glioma_246,Is there a tumor visible in this MRI scan?,yes,174,binary,glioma,174,yes
notumor_242,Is there a tumor visible in this MRI scan?,no,79,binary,no tumor,79,no
glioma_048,What type of brain tumor is shown?,glioma,30,open_ended,glioma,30,glioma
meningioma_035,Where is the tumor located?,left temporal region,75,open_ended,meningioma,130,right parietal convexity
glioma_249,Is there a tumor visible in this MRI scan?,yes,174,binary,glioma,174,yes
glioma_175,Where is the tumor located?,right temporal lobe,149,open_ended,glioma,112,right frontal lobe
notumor_159,Where is the tumor located?,no tumor present,81,open_ended,no tumor,81,no tumor present
glioma_152,What type of brain tumor is shown?,glioma,30,open_ended,glioma,30,glioma
glioma_046,Is there a tumor visible in this MRI scan?,yes,174,binary,glioma,174,yes
glioma_076,Is this a glioma tumor?,yes,174,binary,glioma,174,yes
pituitary_137,Is there a tumor visible in this MRI scan?,yes,174,binary,pituitary,174,yes
notumor_171,Where is the tumor located?,no tumor present,81,open_ended,no tumor,81,no tumor present
notumor_175,What type of brain tumor is shown?,no tumor,80,open_ended,no tumor,80,no tumor
meningioma_016,Is there a tumor visible in this MRI scan?,yes,174,binary,meningioma,174,yes
notumor_190,Where is the tumor located?,no tumor present,81,open_ended,no tumor,81,no tumor present
notumor_209,What type of brain tumor is shown?,no tumor,80,open_ended,no tumor,80,no tumor
pituitary_142,Is this a pituitary tumor?,yes,174,binary,pituitary,174,yes
notumor_247,Is there a tumor visible in this MRI scan?,no,79,binary,no tumor,79,no
meningioma_018,Is this a meningioma tumor?,yes,174,binary,meningioma,174,yes
pituitary_132,Is there a tumor visible in this MRI scan?,yes,174,binary,pituitary,174,yes
pituitary_052,Is this a pituitary tumor?,yes,174,binary,pituitary,174,yes
meningioma_061,Where is the tumor located?,right posterior fossa,138,open_ended,meningioma,130,right parietal convexity
notumor_061,Where is the tumor located?,no tumor present,81,open_ended,no tumor,81,no tumor present
glioma_005,Is there a tumor visible in this MRI scan?,yes,174,binary,glioma,174,yes
notumor_031,Is there a tumor visible in this MRI scan?,no,79,binary,no tumor,79,no
notumor_243,Where is the tumor located?,no tumor present,81,open_ended,no tumor,81,no tumor present
glioma_137,What type of brain tumor is shown?,glioma,30,open_ended,glioma,30,glioma
glioma_165,What type of brain tumor is shown?,glioma,30,open_ended,glioma,30,glioma
notumor_150,What type of brain tumor is shown?,no tumor,80,open_ended,no tumor,80,no tumor
notumor_017,Where is the tumor located?,no tumor present,81,open_ended,no tumor,81,no tumor present
notumor_161,Is this a meningioma tumor?,no,79,binary,no tumor,79,no
meningioma_127,Is there a tumor visible in this MRI scan?,yes,174,binary,meningioma,174,yes
glioma_240,Where is the tumor located?,left temporal lobe,70,open_ended,glioma,112,right frontal lobe
pituitary_232,What type of brain tumor is shown?,pituitary tumor,85,open_ended,pituitary,85,pituitary tumor
pituitary_083,Where is the tumor located?,sellar and suprasellar region,159,open_ended,pituitary,159,sellar and suprasellar region
glioma_200,Is this a glioma tumor?,yes,174,binary,glioma,174,yes
notumor_088,Is there a tumor visible in this MRI scan?,no,79,binary,no tumor,79,no
glioma_057,Is this a glioma tumor?,yes,174,binary,glioma,174,yes
pituitary_019,What type of brain tumor is shown?,pituitary tumor,85,open_ended,pituitary,85,pituitary tumor
notumor_089,What type of brain tumor is shown?,no tumor,80,open_ended,no tumor,80,no tumor
meningioma_200,Where is the tumor located?,left cerebellar hemisphere,36,open_ended,meningioma,130,right parietal convexity
pituitary_122,Is this a pituitary tumor?,yes,174,binary,pituitary,174,yes
notumor_237,Where is the tumor located?,no tumor present,81,open_ended,no tumor,81,no tumor present
notumor_110,Is there a tumor visible in this MRI scan?,no,79,binary,no tumor,79,no
pituitary_070,Is this a pituitary tumor?,yes,174,binary,pituitary,174,yes
pituitary_022,Is this a pituitary tumor?,yes,174,binary,pituitary,174,yes
meningioma_174,Is this a meningioma tumor?,yes,174,binary,meningioma,174,yes
pituitary_200,Is this a pituitary tumor?,yes,174,binary,pituitary,174,yes
meningioma_012,Is this a meningioma tumor?,yes,174,binary,meningioma,174,yes
notumor_112,What type of brain tumor is shown?,no tumor,80,open_ended,no tumor,80,no tumor
glioma_118,Is this a glioma tumor?,yes,174,binary,glioma,174,yes
glioma_239,What type of brain tumor is shown?,glioma,30,open_ended,glioma,30,glioma
notumor_242,Where is the tumor located?,no tumor present,81,open_ended,no tumor,81,no tumor present
pituitary_184,Where is the tumor located?,sellar and suprasellar region,159,open_ended,pituitary,130,right parietal convexity
notumor_211,Is this a meningioma tumor?,no,79,binary,no tumor,79,no
glioma_160,Where is the tumor located?,right thalamic region,157,open_ended,glioma,112,right frontal lobe
notumor_176,Is this a meningioma tumor?,no,79,binary,no tumor,79,no
meningioma_055,What type of brain tumor is shown?,meningioma,77,open_ended,meningioma,77,meningioma
meningioma_040,What type of brain tumor is shown?,meningioma,77,open_ended,meningioma,77,meningioma
meningioma_104,Where is the tumor located?,right frontal parasagittal region,115,open_ended,meningioma,130,right parietal convexity
notumor_153,What type of brain tumor is shown?,no tumor,80,open_ended,no tumor,80,no tumor
meningioma_132,Where is the tumor located?,right frontal convexity,111,open_ended,meningioma,130,right parietal convexity
notumor_224,Is there a tumor visible in this MRI scan?,no,79,binary,no tumor,79,no
meningioma_076,Is there a tumor visible in this MRI scan?,yes,174,binary,meningioma,174,yes
notumor_221,Is this a meningioma tumor?,no,79,binary,no tumor,79,no
pituitary_213,Is there a tumor visible in this MRI scan?,yes,174,binary,pituitary,174,yes
meningioma_151,Where is the tumor located?,right temporal convexity,147,open_ended,meningioma,130,right parietal convexity
glioma_041,Is there a tumor visible in this MRI scan?,yes,174,binary,glioma,174,yes
meningioma_177,Is there a tumor visible in this MRI scan?,yes,174,binary,meningioma,174,yes
glioma_240,Is there a tumor visible in this MRI scan?,yes,174,binary,glioma,174,yes
notumor_059,What type of brain tumor is shown?,no tumor,80,open_ended,no tumor,80,no tumor
pituitary_218,Is this a pituitary tumor?,yes,174,binary,pituitary,174,yes
notumor_221,Is there a tumor visible in this MRI scan?,no,79,binary,no tumor,79,no
glioma_220,Is this a glioma tumor?,yes,174,binary,glioma,174,yes
meningioma_230,Where is the tumor located?,right temporal skull base,155,open_ended,meningioma,130,right parietal convexity
pituitary_241,Is this a pituitary tumor?,yes,174,binary,pituitary,174,yes
meningioma_222,Is there a tumor visible in this MRI scan?,yes,174,binary,meningioma,174,yes
pituitary_051,Is there a tumor visible in this MRI scan?,yes,174,binary,pituitary,174,yes
glioma_025,What type of brain tumor is shown?,glioma,30,open_ended,glioma,30,glioma
notumor_193,Is this a glioma tumor?,no,79,binary,no tumor,79,no
pituitary_140,Is this a pituitary tumor?,yes,174,binary,pituitary,174,yes
notumor_046,Where is the tumor located?,no tumor present,81,open_ended,no tumor,81,no tumor present
notumor_075,What type of brain tumor is shown?,no tumor,80,open_ended,no tumor,80,no tumor
glioma_064,Is this a glioma tumor?,yes,174,binary,glioma,174,yes
glioma_026,Where is the tumor located?,left frontal lobe,39,open_ended,glioma,112,right frontal lobe
meningioma_112,Is this a meningioma tumor?,yes,174,binary,meningioma,174,yes
meningioma_111,Where is the tumor located?,right frontal parasagittal region,115,open_ended,meningioma,130,right parietal convexity
meningioma_163,Is there a tumor visible in this MRI scan?,yes,174,binary,meningioma,174,yes
glioma_147,What type of brain tumor is shown?,glioma,30,open_ended,glioma,30,glioma
glioma_157,Where is the tumor located?,right temporal lobe,149,open_ended,glioma,112,right frontal lobe
meningioma_175,Is there a tumor visible in this MRI scan?,yes,174,binary,meningioma,174,yes
notumor_048,Where is the tumor located?,no tumor present,81,open_ended,no tumor,81,no tumor present
pituitary_026,Is this a pituitary tumor?,yes,174,binary,pituitary,174,yes
pituitary_050,Where is the tumor located?,sellar region,160,open_ended,pituitary,160,sellar region
glioma_101,Where is the tumor located?,posterior fossa brainstem region,87,open_ended,glioma,112,right frontal lobe
meningioma_039,What type of brain tumor is shown?,meningioma,77,open_ended,meningioma,77,meningioma
pituitary_064,Where is the tumor located?,sellar region,160,open_ended,pituitary,160,sellar region
pituitary_216,Where is the tumor located?,sellar and parasellar region,158,open_ended,pituitary,160,sellar region
meningioma_171,What type of brain tumor is shown?,meningioma,77,open_ended,meningioma,77,meningioma
notumor_043,What type of brain tumor is shown?,no tumor,80,open_ended,no tumor,80,no tumor
notumor_186,Is this a pituitary tumor?,no,79,binary,no tumor,79,no
pituitary_015,Is there a tumor visible in this MRI scan?,yes,174,binary,pituitary,174,yes
notumor_016,What type of brain tumor is shown?,no tumor,80,open_ended,no tumor,80,no tumor
notumor_198,Where is the tumor located?,no tumor present,81,open_ended,no tumor,81,no tumor present
notumor_028,Is there a tumor visible in this MRI scan?,no,79,binary,no tumor,79,no
glioma_114,Is there a tumor visible in this MRI scan?,yes,174,binary,glioma,174,yes
pituitary_076,Is this a pituitary tumor?,yes,174,binary,pituitary,174,yes
meningioma_082,Where is the tumor located?,right frontal parasagittal region,115,open_ended,meningioma,130,right parietal convexity
pituitary_237,Is there a tumor visible in this MRI scan?,yes,174,binary,pituitary,174,yes
pituitary_013,Is this a pituitary tumor?,yes,174,binary,pituitary,174,yes
glioma_221,Is there a tumor visible in this MRI scan?,yes,174,binary,glioma,174,yes
notumor_161,Where is the tumor located?,no tumor present,81,open_ended,no tumor,81,no tumor present
notumor_222,What type of brain tumor is shown?,no tumor,80,open_ended,no tumor,80,no tumor
glioma_156,Where is the tumor located?,posterior fossa region,96,open_ended,glioma,112,right frontal lobe
pituitary_099,Is this a pituitary tumor?,yes,174,binary,pituitary,174,yes
notumor_173,What type of brain tumor is shown?,no tumor,80,open_ended,no tumor,80,no tumor
meningioma_197,Where is the tumor located?,anterior skull base region,3,open_ended,meningioma,130,right parietal convexity
glioma_066,What type of brain tumor is shown?,glioma,30,open_ended,glioma,30,glioma
meningioma_159,What type of brain tumor is shown?,meningioma,77,open_ended,meningioma,30,glioma
notumor_093,Is this a pituitary tumor?,no,79,binary,no tumor,79,no
meningioma_110,What type of brain tumor is shown?,meningioma,77,open_ended,meningioma,77,meningioma
pituitary_050,What type of brain tumor is shown?,pituitary tumor,85,open_ended,pituitary,85,pituitary tumor
meningioma_243,Is this a meningioma tumor?,yes,174,binary,meningioma,174,yes
pituitary_131,Is there a tumor visible in this MRI scan?,yes,174,binary,pituitary,174,yes
meningioma_201,What type of brain tumor is shown?,meningioma,77,open_ended,meningioma,77,meningioma
glioma_161,Is there a tumor visible in this MRI scan?,yes,174,binary,glioma,174,yes
notumor_246,What type of brain tumor is shown?,no tumor,80,open_ended,no tumor,80,no tumor
pituitary_097,Is this a pituitary tumor?,yes,174,binary,pituitary,174,yes
pituitary_150,What type of brain tumor is shown?,pituitary tumor,85,open_ended,pituitary,85,pituitary tumor
notumor_222,Is this a pituitary tumor?,no,79,binary,no tumor,79,no
meningioma_240,Where is the tumor located?,right frontal convexity,111,open_ended,meningioma,130,right parietal convexity
pituitary_245,Is there a tumor visible in this MRI scan?,yes,174,binary,pituitary,174,yes
glioma_123,Is there a tumor visible in this MRI scan?,yes,174,binary,glioma,174,yes
meningioma_211,Where is the tumor located?,left parietal convexity,56,open_ended,meningioma,130,right parietal convexity
meningioma_184,What type of brain tumor is shown?,meningioma,77,open_ended,meningioma,77,meningioma
pituitary_228,Where is the tumor located?,sellar and suprasellar region,159,open_ended,pituitary,160,sellar region
notumor_055,Where is the tumor located?,no tumor present,81,open_ended,no tumor,81,no tumor present
glioma_037,What type of brain tumor is shown?,glioma,30,open_ended,glioma,30,glioma
meningioma_134,What type of brain tumor is shown?,meningioma,77,open_ended,meningioma,77,meningioma
meningioma_247,What type of brain tumor is shown?,meningioma,77,open_ended,meningioma,77,meningioma
meningioma_093,Is this a meningioma tumor?,yes,174,binary,meningioma,174,yes
pituitary_113,What type of brain tumor is shown?,pituitary tumor,85,open_ended,pituitary,85,pituitary tumor
notumor_229,Is there a tumor visible in this MRI scan?,no,79,binary,no tumor,79,no
notumor_001,What type of brain tumor is shown?,no tumor,80,open_ended,no tumor,80,no tumor
pituitary_203,Where is the tumor located?,sellar and suprasellar region,159,open_ended,pituitary,160,sellar region
glioma_165,Where is the tumor located?,left frontal paramedian region,41,open_ended,glioma,112,right frontal lobe
meningioma_199,What type of brain tumor is shown?,meningioma,77,open_ended,meningioma,77,meningioma
notumor_106,Is there a tumor visible in this MRI scan?,no,79,binary,no tumor,79,no
pituitary_128,Where is the tumor located?,posterior fossa sellar region,97,open_ended,pituitary,160,sellar region
notumor_100,Is this a glioma tumor?,no,79,binary,no tumor,79,no
glioma_047,What type of brain tumor is shown?,glioma,30,open_ended,glioma,30,glioma
meningioma_037,Where is the tumor located?,right frontal convexity,111,open_ended,meningioma,130,right parietal convexity
notumor_069,Is there a tumor visible in this MRI scan?,no,79,binary,no tumor,79,no
glioma_153,Is there a tumor visible in this MRI scan?,yes,174,binary,glioma,174,yes
pituitary_048,Where is the tumor located?,sellar region,160,open_ended,pituitary,160,sellar region
pituitary_200,Where is the tumor located?,sellar and suprasellar region,159,open_ended,pituitary,160,sellar region
notumor_146,What type of brain tumor is shown?,no tumor,80,open_ended,no tumor,80,no tumor
meningioma_233,What type of brain tumor is shown?,meningioma,77,open_ended,meningioma,77,meningioma
notumor_008,Is this a glioma tumor?,no,79,binary,no tumor,79,no
glioma_050,Is this a glioma tumor?,yes,174,binary,glioma,174,yes
notumor_171,Is this a pituitary tumor?,no,79,binary,no tumor,79,no
pituitary_233,Where is the tumor located?,sellar region,160,open_ended,pituitary,160,sellar region
pituitary_082,Where is the tumor located?,sellar region,160,open_ended,pituitary,160,sellar region
glioma_074,Is this a glioma tumor?,yes,174,binary,glioma,174,yes
glioma_192,What type of brain tumor is shown?,glioma,30,open_ended,glioma,30,glioma
glioma_101,Is there a tumor visible in this MRI scan?,yes,174,binary,glioma,174,yes
glioma_031,What type of brain tumor is shown?,glioma,30,open_ended,glioma,30,glioma
notumor_064,Where is the tumor located?,no tumor present,81,open_ended,no tumor,81,no tumor present
glioma_051,What type of brain tumor is shown?,glioma,30,open_ended,glioma,30,glioma
notumor_128,What type of brain tumor is shown?,no tumor,80,open_ended,no tumor,80,no tumor
glioma_209,Where is the tumor located?,right frontal region,118,open_ended,glioma,112,right frontal lobe
pituitary_074,What type of brain tumor is shown?,pituitary tumor,85,open_ended,pituitary,85,pituitary tumor
meningioma_110,Where is the tumor located?,right frontal parasagittal region,115,open_ended,meningioma,130,right parietal convexity
meningioma_184,Is this a meningioma tumor?,yes,174,binary,meningioma,174,yes
meningioma_174,Where is the tumor located?,right sphenoid wing region,143,open_ended,meningioma,130,right parietal convexity
notumor_225,Where is the tumor located?,no tumor present,81,open_ended,no tumor,81,no tumor present
meningioma_177,Where is the tumor located?,posterior fossa cerebellar,88,open_ended,meningioma,130,right parietal convexity
notumor_220,What type of brain tumor is shown?,no tumor,80,open_ended,no tumor,80,no tumor
meningioma_039,Is this a meningioma tumor?,yes,174,binary,meningioma,174,yes
meningioma_166,Is this a meningioma tumor?,yes,174,binary,meningioma,174,yes
notumor_119,What type of brain tumor is shown?,no tumor,80,open_ended,no tumor,80,no tumor
pituitary_109,Is there a tumor visible in this MRI scan?,yes,174,binary,pituitary,174,yes
notumor_188,What type of brain tumor is shown?,no tumor,80,open_ended,no tumor,80,no tumor
meningioma_190,Where is the tumor located?,right temporal convexity,147,open_ended,meningioma,112,right frontal lobe
glioma_214,What type of brain tumor is shown?,glioma,30,open_ended,glioma,30,glioma
meningioma_148,Is this a meningioma tumor?,yes,174,binary,meningioma,174,yes
pituitary_067,Where is the tumor located?,sellar and suprasellar region,159,open_ended,pituitary,160,sellar region
glioma_161,Is this a glioma tumor?,yes,174,binary,glioma,174,yes
glioma_001,Is this a glioma tumor?,yes,174,binary,glioma,174,yes
pituitary_041,Is there a tumor visible in this MRI scan?,yes,174,binary,pituitary,174,yes
glioma_175,What type of brain tumor is shown?,glioma,30,open_ended,glioma,30,glioma
notumor_229,Is this a meningioma tumor?,no,79,binary,no tumor,79,no
pituitary_250,Where is the tumor located?,sellar region,160,open_ended,pituitary,160,sellar region
notumor_175,Is there a tumor visible in this MRI scan?,no,79,binary,no tumor,79,no
meningioma_160,Is there a tumor visible in this MRI scan?,yes,174,binary,meningioma,174,yes
notumor_047,Is there a tumor visible in this MRI scan?,no,79,binary,no tumor,79,no
notumor_115,What type of brain tumor is shown?,no tumor,80,open_ended,no tumor,80,no tumor
notumor_115,Is this a glioma tumor?,no,79,binary,no tumor,79,no
notumor_146,Is this a meningioma tumor?,no,79,binary,no tumor,79,no
meningioma_073,Where is the tumor located?,posterior fossa midline,94,open_ended,meningioma,130,right parietal convexity
notumor_202,Is this a pituitary tumor?,no,79,binary,no tumor,79,no
pituitary_123,Is this a pituitary tumor?,yes,174,binary,pituitary,174,yes
meningioma_131,Is there a tumor visible in this MRI scan?,yes,174,binary,meningioma,174,yes
meningioma_214,Is this a meningioma tumor?,yes,174,binary,meningioma,174,yes
meningioma_035,Is there a tumor visible in this MRI scan?,yes,174,binary,meningioma,174,yes
notumor_077,Is there a tumor visible in this MRI scan?,no,79,binary,no tumor,79,no
notumor_216,What type of brain tumor is shown?,no tumor,80,open_ended,no tumor,80,no tumor
meningioma_158,Where is the tumor located?,right posterior fossa,138,open_ended,meningioma,130,right parietal convexity
notumor_186,Where is the tumor located?,no tumor present,81,open_ended,no tumor,81,no tumor present
notumor_112,Is this a glioma tumor?,no,79,binary,no tumor,79,no
meningioma_250,What type of brain tumor is shown?,meningioma,77,open_ended,meningioma,77,meningioma
glioma_166,Where is the tumor located?,left hemisphere frontoparietal region,51,open_ended,glioma,112,right frontal lobe
glioma_171,Where is the tumor located?,right frontal lobe,112,open_ended,glioma,112,right frontal lobe
meningioma_065,Is this a meningioma tumor?,yes,174,binary,meningioma,174,yes
notumor_192,What type of brain tumor is shown?,no tumor,80,open_ended,no tumor,80,no tumor
notumor_188,Is there a tumor visible in this MRI scan?,no,79,binary,no tumor,79,no
glioma_080,Is this a glioma tumor?,yes,174,binary,glioma,174,yes
glioma_163,Is there a tumor visible in this MRI scan?,yes,174,binary,glioma,174,yes
meningioma_109,What type of brain tumor is shown?,meningioma,77,open_ended,meningioma,77,meningioma
meningioma_120,Where is the tumor located?,right frontal convexity,111,open_ended,meningioma,130,right parietal convexity
glioma_178,Is this a glioma tumor?,yes,174,binary,glioma,174,yes
notumor_108,What type of brain tumor is shown?,no tumor,80,open_ended,no tumor,80,no tumor
meningioma_071,What type of brain tumor is shown?,meningioma,77,open_ended,meningioma,77,meningioma
meningioma_193,Is there a tumor visible in this MRI scan?,yes,174,binary,meningioma,174,yes
glioma_244,Is there a tumor visible in this MRI scan?,yes,174,binary,glioma,174,yes
pituitary_169,Where is the tumor located?,sellar region suprasellar extension,166,open_ended,pituitary,160,sellar region
pituitary_171,Is there a tumor visible in this MRI scan?,yes,174,binary,pituitary,174,yes
meningioma_077,What type of brain tumor is shown?,meningioma,77,open_ended,meningioma,77,meningioma
meningioma_101,Is there a tumor visible in this MRI scan?,yes,174,binary,meningioma,174,yes
meningioma_103,Is there a tumor visible in this MRI scan?,yes,174,binary,meningioma,174,yes
notumor_075,Is there a tumor visible in this MRI scan?,no,79,binary,no tumor,79,no
pituitary_060,Is this a pituitary tumor?,yes,174,binary,pituitary,174,yes
notumor_076,What type of brain tumor is shown?,no tumor,80,open_ended,no tumor,80,no tumor
meningioma_125,Is there a tumor visible in this MRI scan?,yes,174,binary,meningioma,174,yes
notumor_105,Where is the tumor located?,no tumor present,81,open_ended,no tumor,81,no tumor present
pituitary_010,What type of brain tumor is shown?,pituitary tumor,85,open_ended,pituitary,85,pituitary tumor
meningioma_133,Is this a meningioma tumor?,yes,174,binary,meningioma,174,yes
meningioma_166,Where is the tumor located?,posterior fossa midline,94,open_ended,meningioma,130,right parietal convexity
meningioma_089,What type of brain tumor is shown?,meningioma,77,open_ended,meningioma,77,meningioma
notumor_224,Where is the tumor located?,no tumor present,81,open_ended,no tumor,81,no tumor present
notumor_231,Where is the tumor located?,no tumor present,81,open_ended,no tumor,81,no tumor present
notumor_157,Where is the tumor located?,no tumor present,81,open_ended,no tumor,81,no tumor present
meningioma_161,Where is the tumor located?,right posterior fossa,138,open_ended,meningioma,130,right parietal convexity
meningioma_013,Where is the tumor located?,left temporal region,75,open_ended,meningioma,130,right parietal convexity
glioma_199,Where is the tumor located?,right parietal occipital region,133,open_ended,glioma,112,right frontal lobe
pituitary_174,Is this a pituitary tumor?,yes,174,binary,pituitary,174,yes
notumor_016,Is there a tumor visible in this MRI scan?,no,79,binary,no tumor,79,no
meningioma_150,Is this a meningioma tumor?,yes,174,binary,meningioma,174,yes
pituitary_152,Is there a tumor visible in this MRI scan?,yes,174,binary,pituitary,174,yes
pituitary_183,Is this a pituitary tumor?,yes,174,binary,pituitary,174,yes
pituitary_157,Is this a pituitary tumor?,yes,174,binary,pituitary,174,yes
meningioma_205,Where is the tumor located?,right parietal convexity,130,open_ended,meningioma,130,right parietal convexity
notumor_040,Is this a glioma tumor?,no,79,binary,no tumor,79,no
notumor_079,What type of brain tumor is shown?,no tumor,80,open_ended,no tumor,80,no tumor
meningioma_181,What type of brain tumor is shown?,meningioma,77,open_ended,meningioma,77,meningioma
meningioma_046,Where is the tumor located?,right parietal convexity,130,open_ended,meningioma,130,right parietal convexity
pituitary_144,Is there a tumor visible in this MRI scan?,yes,174,binary,pituitary,174,yes
meningioma_015,Where is the tumor located?,right anterior skull base,105,open_ended,meningioma,130,right parietal convexity
glioma_136,Is there a tumor visible in this MRI scan?,yes,174,binary,glioma,174,yes
notumor_061,What type of brain tumor is shown?,no tumor,80,open_ended,no tumor,80,no tumor
meningioma_170,What type of brain tumor is shown?,meningioma,77,open_ended,meningioma,77,meningioma
pituitary_200,Is there a tumor visible in this MRI scan?,yes,174,binary,pituitary,174,yes
notumor_213,What type of brain tumor is shown?,no tumor,80,open_ended,no tumor,80,no tumor
notumor_120,What type of brain tumor is shown?,no tumor,80,open_ended,no tumor,80,no tumor
pituitary_134,Is there a tumor visible in this MRI scan?,yes,174,binary,pituitary,174,yes
meningioma_190,Is this a meningioma tumor?,yes,174,binary,meningioma,174,yes
meningioma_231,Where is the tumor located?,right frontoparietal convexity,120,open_ended,meningioma,130,right parietal convexity
glioma_024,Where is the tumor located?,right parietal lobe,131,open_ended,glioma,112,right frontal lobe
meningioma_006,Is there a tumor visible in this MRI scan?,yes,174,binary,meningioma,174,yes
glioma_141,Where is the tumor located?,cerebellar vermis posterior fossa,29,open_ended,glioma,130,right parietal convexity
notumor_079,Is there a tumor visible in this MRI scan?,no,79,binary,no tumor,79,no
pituitary_198,What type of brain tumor is shown?,pituitary tumor,85,open_ended,pituitary,85,pituitary tumor
glioma_216,Where is the tumor located?,right parietal lobe,131,open_ended,glioma,112,right frontal lobe
notumor_162,What type of brain tumor is shown?,no tumor,80,open_ended,no tumor,80,no tumor
notumor_191,What type of brain tumor is shown?,no tumor,80,open_ended,no tumor,80,no tumor
meningioma_122,Is there a tumor visible in this MRI scan?,yes,174,binary,meningioma,174,yes
pituitary_235,Where is the tumor located?,sellar region,160,open_ended,pituitary,160,sellar region
notumor_157,Is this a glioma tumor?,no,79,binary,no tumor,79,no
meningioma_221,Is this a meningioma tumor?,yes,174,binary,meningioma,174,yes
meningioma_010,What type of brain tumor is shown?,meningioma,77,open_ended,meningioma,77,meningioma
glioma_052,What type of brain tumor is shown?,glioma,30,open_ended,glioma,30,glioma
glioma_099,Is there a tumor visible in this MRI scan?,yes,174,binary,glioma,174,yes
pituitary_211,What type of brain tumor is shown?,pituitary tumor,85,open_ended,pituitary,85,pituitary tumor
glioma_218,What type of brain tumor is shown?,glioma,30,open_ended,glioma,85,pituitary tumor
glioma_100,Is this a glioma tumor?,yes,174,binary,glioma,174,yes
pituitary_204,What type of brain tumor is shown?,pituitary tumor,85,open_ended,pituitary,85,pituitary tumor
notumor_210,Where is the tumor located?,no tumor present,81,open_ended,no tumor,81,no tumor present
notumor_073,Is this a glioma tumor?,no,79,binary,no tumor,79,no
meningioma_008,Is there a tumor visible in this MRI scan?,yes,174,binary,meningioma,174,yes
pituitary_173,What type of brain tumor is shown?,pituitary tumor,85,open_ended,pituitary,85,pituitary tumor
meningioma_122,Is this a meningioma tumor?,yes,174,binary,meningioma,174,yes
pituitary_166,Is there a tumor visible in this MRI scan?,yes,174,binary,pituitary,174,yes
notumor_203,What type of brain tumor is shown?,no tumor,80,open_ended,no tumor,80,no tumor
glioma_241,Is there a tumor visible in this MRI scan?,yes,174,binary,glioma,174,yes
meningioma_143,What type of brain tumor is shown?,meningioma,77,open_ended,meningioma,77,meningioma
pituitary_194,Is this a pituitary tumor?,yes,174,binary,pituitary,174,yes
meningioma_224,Where is the tumor located?,parasagittal frontal region,82,open_ended,meningioma,130,right parietal convexity
pituitary_183,Where is the tumor located?,sellar region anterior skull base,161,open_ended,pituitary,160,sellar region
pituitary_037,What type of brain tumor is shown?,pituitary tumor,85,open_ended,pituitary,85,pituitary tumor
glioma_202,Is there a tumor visible in this MRI scan?,yes,174,binary,glioma,174,yes
meningioma_188,Where is the tumor located?,posterior fossa midline,94,open_ended,meningioma,130,right parietal convexity
notumor_162,Is this a pituitary tumor?,no,79,binary,no tumor,79,no
pituitary_114,What type of brain tumor is shown?,pituitary tumor,85,open_ended,pituitary,85,pituitary tumor
glioma_126,What type of brain tumor is shown?,glioma,30,open_ended,glioma,30,glioma
notumor_030,Where is the tumor located?,no tumor present,81,open_ended,no tumor,81,no tumor present
notumor_027,Is there a tumor visible in this MRI scan?,no,79,binary,no tumor,79,no
pituitary_245,Is this a pituitary tumor?,yes,174,binary,pituitary,174,yes
glioma_195,Where is the tumor located?,right frontal lobe,112,open_ended,glioma,112,right frontal lobe
meningioma_216,Where is the tumor located?,right frontal convexity,111,open_ended,meningioma,130,right parietal convexity
glioma_051,Is there a tumor visible in this MRI scan?,yes,174,binary,glioma,174,yes
pituitary_046,What type of brain tumor is shown?,pituitary tumor,85,open_ended,pituitary,85,pituitary tumor
notumor_025,Where is the tumor located?,no tumor present,81,open_ended,no tumor,81,no tumor present
pituitary_023,Is there a tumor visible in this MRI scan?,yes,174,binary,pituitary,174,yes
notumor_017,Is this a glioma tumor?,no,79,binary,no tumor,79,no
pituitary_070,What type of brain tumor is shown?,pituitary tumor,85,open_ended,pituitary,85,pituitary tumor
notumor_141,Is this a pituitary tumor?,no,79,binary,no tumor,79,no
meningioma_200,Is there a tumor visible in this MRI scan?,yes,174,binary,meningioma,174,yes
glioma_095,What type of brain tumor is shown?,glioma,30,open_ended,glioma,30,glioma
pituitary_085,Is there a tumor visible in this MRI scan?,yes,174,binary,pituitary,174,yes
glioma_105,What type of brain tumor is shown?,glioma,30,open_ended,glioma,30,glioma
meningioma_175,What type of brain tumor is shown?,meningioma,77,open_ended,meningioma,30,glioma
glioma_098,Where is the tumor located?,right frontal parietal lobe,116,open_ended,glioma,112,right frontal lobe
pituitary_161,Is there a tumor visible in this MRI scan?,yes,174,binary,pituitary,174,yes
meningioma_131,What type of brain tumor is shown?,meningioma,77,open_ended,meningioma,77,meningioma
meningioma_041,What type of brain tumor is shown?,meningioma,77,open_ended,meningioma,77,meningioma
notumor_034,What type of brain tumor is shown?,no tumor,80,open_ended,no tumor,80,no tumor
meningioma_124,Where is the tumor located?,right parietal convexity,130,open_ended,meningioma,130,right parietal convexity
pituitary_174,Where is the tumor located?,sellar region midline,164,open_ended,pituitary,160,sellar region
