image_id,question,answer
pituitary_248,Where is the tumor located?,sellar region
meningioma_056,Is this a meningioma tumor?,yes
glioma_127,What type of brain tumor is shown?,glioma
notumor_216,Is there a tumor visible in this MRI scan?,no
notumor_141,Where is the tumor located?,no tumor present
meningioma_031,Where is the tumor located?,right frontal lobe
pituitary_129,Is there a tumor visible in this MRI scan?,yes
glioma_126,Is there a tumor visible in this MRI scan?,yes
meningioma_028,Is there a tumor visible in this MRI scan?,yes
meningioma_071,Is this a meningioma tumor?,yes
glioma_138,Is this a glioma tumor?,yes
glioma_140,Is this a glioma tumor?,yes
meningioma_151,Is this a meningioma tumor?,yes
glioma_151,What type of brain tumor is shown?,glioma
glioma_111,What type of brain tumor is shown?,glioma
meningioma_195,Where is the tumor located?,left posterior parietal convexity
glioma_055,What type of brain tumor is shown?,glioma
pituitary_027,Where is the tumor located?,sellar and suprasellar region
glioma_225,Is this a glioma tumor?,yes
glioma_185,Is there a tumor visible in this MRI scan?,yes
notumor_081,Where is the tumor located?,no tumor present
pituitary_121,Is there a tumor visible in this MRI scan?,yes
notumor_205,Is there a tumor visible in this MRI scan?,no
pituitary_015,Where is the tumor located?,sellar region
meningioma_227,Is there a tumor visible in this MRI scan?,yes
notumor_096,What type of brain tumor is shown?,no tumor
meningioma_167,What type of brain tumor is shown?,meningioma
notumor_240,What type of brain tumor is shown?,no tumor
pituitary_208,Is this a pituitary tumor?,yes
notumor_033,What type of brain tumor is shown?,no tumor
notumor_086,Is this a meningioma tumor?,no
pituitary_121,Is this a pituitary tumor?,yes
meningioma_052,Is there a tumor visible in this MRI scan?,yes
meningioma_040,Where is the tumor located?,right cerebellar hemisphere
pituitary_073,What type of brain tumor is shown?,pituitary tumor
meningioma_134,Is this a meningioma tumor?,yes
glioma_202,Is this a glioma tumor?,yes
pituitary_177,What type of brain tumor is shown?,pituitary tumor
meningioma_219,What type of brain tumor is shown?,meningioma
notumor_069,Where is the tumor located?,no tumor present
glioma_145,What type of brain tumor is shown?,glioma
pituitary_070,Where is the tumor located?,sellar and suprasellar region
notumor_105,What type of brain tumor is shown?,no tumor
meningioma_091,What type of brain tumor is shown?,meningioma
glioma_001,Is there a tumor visible in this MRI scan?,yes
notumor_107,What type of brain tumor is shown?,no tumor
notumor_183,Is there a tumor visible in this MRI scan?,no
notumor_212,Is this a pituitary tumor?,no
glioma_242,Is there a tumor visible in this MRI scan?,yes
notumor_064,Is this a glioma tumor?,no
meningioma_003,Where is the tumor located?,sellar suprasellar region
glioma_062,Where is the tumor located?,right parietal lobe
meningioma_107,Is this a meningioma tumor?,yes
pituitary_028,Where is the tumor located?,sellar and suprasellar region
notumor_245,Is there a tumor visible in this MRI scan?,no
notumor_102,Where is the tumor located?,no tumor present
notumor_199,Is this a glioma tumor?,no
meningioma_128,Is this a meningioma tumor?,yes
notumor_129,Where is the tumor located?,no tumor present
glioma_163,What type of brain tumor is shown?,glioma
meningioma_242,Where is the tumor located?,right parietal convexity
pituitary_012,What type of brain tumor is shown?,pituitary tumor
meningioma_140,What type of brain tumor is shown?,meningioma
notumor_201,Is there a tumor visible in this MRI scan?,no
glioma_044,Where is the tumor located?,left temporal lobe
glioma_070,What type of brain tumor is shown?,glioma
meningioma_034,Where is the tumor located?,left parietal lobe
notumor_139,Is there a tumor visible in this MRI scan?,no
pituitary_122,Is there a tumor visible in this MRI scan?,yes
pituitary_108,What type of brain tumor is shown?,pituitary tumor
pituitary_133,Is this a pituitary tumor?,yes
notumor_130,Where is the tumor located?,no tumor present
glioma_173,Where is the tumor located?,right parietal lobe
notumor_241,Is this a meningioma tumor?,no
glioma_105,Is there a tumor visible in this MRI scan?,yes
pituitary_223,Is this a pituitary tumor?,yes
glioma_055,Is this a glioma tumor?,yes
pituitary_123,Is there a tumor visible in this MRI scan?,yes
meningioma_243,Where is the tumor located?,right temporal convexity
notumor_102,Is this a pituitary tumor?,no
notumor_028,Where is the tumor located?,no tumor present
glioma_226,Where is the tumor located?,left occipital region
pituitary_232,Is this a pituitary tumor?,yes
glioma_229,Is there a tumor visible in this MRI scan?,yes
notumor_118,Is this a glioma tumor?,no
glioma_182,Where is the tumor located?,right parietal lobe
notumor_189,Where is the tumor located?,no tumor present
notumor_020,Where is the tumor located?,no tumor present
pituitary_207,Is this a pituitary tumor?,yes
pituitary_039,Where is the tumor located?,sellar and suprasellar region
glioma_113,Is this a glioma tumor?,yes
meningioma_099,Where is the tumor located?,right anterior skull base
glioma_095,Is there a tumor visible in this MRI scan?,yes
notumor_036,What type of brain tumor is shown?,no tumor
meningioma_189,Is there a tumor visible in this MRI scan?,yes
notumor_242,What type of brain tumor is shown?,no tumor
glioma_109,Is this a glioma tumor?,yes
glioma_239,Is there a tumor visible in this MRI scan?,yes
glioma_093,Where is the tumor located?,left cerebellar hemisphere
notumor_070,Is this a glioma tumor?,no
pituitary_100,Is there a tumor visible in this MRI scan?,yes
meningioma_106,Is this a meningioma tumor?,yes
glioma_176,Is there a tumor visible in this MRI scan?,yes
pituitary_217,Where is the tumor located?,sellar region
glioma_162,Is there a tumor visible in this MRI scan?,yes
meningioma_115,Is this a meningioma tumor?,yes
glioma_167,Is this a glioma tumor?,yes
meningioma_126,Where is the tumor located?,left frontoparietal convexity
meningioma_107,Where is the tumor located?,right posterior parietal region
meningioma_159,Is there a tumor visible in this MRI scan?,yes
pituitary_106,Is there a tumor visible in this MRI scan?,yes
meningioma_121,Is there a tumor visible in this MRI scan?,yes
meningioma_042,Is there a tumor visible in this MRI scan?,yes
glioma_199,What type of brain tumor is shown?,glioma
notumor_148,Where is the tumor located?,no tumor present
glioma_062,What type of brain tumor is shown?,glioma
notumor_204,Where is the tumor located?,no tumor present
glioma_184,What type of brain tumor is shown?,glioma
glioma_127,Is this a glioma tumor?,yes
pituitary_111,Is there a tumor visible in this MRI scan?,yes
meningioma_048,Is this a meningioma tumor?,yes
notumor_094,Is there a tumor visible in this MRI scan?,no
notumor_111,Where is the tumor located?,no tumor present
meningioma_154,What type of brain tumor is shown?,meningioma
glioma_134,Is there a tumor visible in this MRI scan?,yes
glioma_234,Is there a tumor visible in this MRI scan?,yes
glioma_028,Is there a tumor visible in this MRI scan?,yes
meningioma_217,Where is the tumor located?,right frontoparietal convexity
glioma_238,Is this a glioma tumor?,yes
pituitary_104,Is this a pituitary tumor?,yes
pituitary_238,Is there a tumor visible in this MRI scan?,yes
notumor_052,Is this a glioma tumor?,no
pituitary_056,Where is the tumor located?,sellar region
pituitary_244,What type of brain tumor is shown?,pituitary tumor
notumor_240,Is this a pituitary tumor?,no
glioma_136,Where is the tumor located?,right cerebellar hemisphere
meningioma_192,Is this a meningioma tumor?,yes
pituitary_124,What type of brain tumor is shown?,pituitary tumor
pituitary_234,What type of brain tumor is shown?,pituitary tumor
glioma_065,Where is the tumor located?,right parietal lobe
meningioma_129,What type of brain tumor is shown?,meningioma
meningioma_195,What type of brain tumor is shown?,meningioma
meningioma_216,What type of brain tumor is shown?,meningioma
meningioma_074,Where is the tumor located?,left cerebellar hemisphere
glioma_232,Where is the tumor located?,central posterior fossa
glioma_154,Is there a tumor visible in this MRI scan?,yes
pituitary_158,Where is the tumor located?,central sellar region
meningioma_058,Where is the tumor located?,left lateral ventricle region
glioma_055,Where is the tumor located?,central posterior fossa
notumor_033,Is this a glioma tumor?,no
glioma_122,Is this a glioma tumor?,yes
pituitary_080,Is there a tumor visible in this MRI scan?,yes
pituitary_042,Is there a tumor visible in this MRI scan?,yes
notumor_131,Is this a meningioma tumor?,no
pituitary_249,Is there a tumor visible in this MRI scan?,yes
glioma_065,What type of brain tumor is shown?,glioma
notumor_211,What type of brain tumor is shown?,no tumor
glioma_097,What type of brain tumor is shown?,glioma
glioma_212,Where is the tumor located?,left temporal parietal region
pituitary_144,Is this a pituitary tumor?,yes
notumor_059,Is this a meningioma tumor?,no
notumor_154,Is there a tumor visible in this MRI scan?,no
notumor_026,Is this a glioma tumor?,no
pituitary_216,Is this a pituitary tumor?,yes
meningioma_156,Where is the tumor located?,left frontoparietal convexity
meningioma_001,Is this a meningioma tumor?,yes
glioma_053,Is this a glioma tumor?,yes
notumor_156,Is there a tumor visible in this MRI scan?,no
pituitary_023,Where is the tumor located?,central sellar region
meningioma_238,Is there a tumor visible in this MRI scan?,yes
glioma_228,What type of brain tumor is shown?,glioma
meningioma_180,What type of brain tumor is shown?,meningioma
pituitary_139,Is there a tumor visible in this MRI scan?,yes
pituitary_247,Is there a tumor visible in this MRI scan?,yes
pituitary_041,Where is the tumor located?,sellar and suprasellar region
glioma_150,Is there a tumor visible in this MRI scan?,yes
meningioma_238,What type of brain tumor is shown?,meningioma
notumor_192,Is there a tumor visible in this MRI scan?,no
glioma_075,Is there a tumor visible in this MRI scan?,yes
notumor_180,Is there a tumor visible in this MRI scan?,no
glioma_127,Where is the tumor located?,posterior temporal parietal region
pituitary_217,Is there a tumor visible in this MRI scan?,yes
glioma_002,Where is the tumor located?,left frontal lobe
pituitary_064,Is there a tumor visible in this MRI scan?,yes
notumor_014,What type of brain tumor is shown?,no tumor
pituitary_008,Is this a pituitary tumor?,yes
pituitary_038,Is there a tumor visible in this MRI scan?,yes
pituitary_022,What type of brain tumor is shown?,pituitary tumor
notumor_030,Is this a glioma tumor?,no
pituitary_138,What type of brain tumor is shown?,pituitary tumor
notumor_090,What type of brain tumor is shown?,no tumor
glioma_045,Is this a glioma tumor?,yes
notumor_214,Is this a pituitary tumor?,no
pituitary_195,What type of brain tumor is shown?,pituitary tumor
glioma_198,What type of brain tumor is shown?,glioma
meningioma_084,What type of brain tumor is shown?,meningioma
glioma_170,What type of brain tumor is shown?,glioma
notumor_114,Is this a pituitary tumor?,no
notumor_004,Is there a tumor visible in this MRI scan?,no
meningioma_110,Is there a tumor visible in this MRI scan?,yes
glioma_025,Is there a tumor visible in this MRI scan?,yes
glioma_011,Where is the tumor located?,left temporal parietal region
meningioma_204,What type of brain tumor is shown?,meningioma
meningioma_123,What type of brain tumor is shown?,meningioma
meningioma_058,Is there a tumor visible in this MRI scan?,yes
glioma_190,Where is the tumor located?,left posterior temporal region
notumor_157,What type of brain tumor is shown?,no tumor
pituitary_005,What type of brain tumor is shown?,pituitary tumor
pituitary_188,Is this a pituitary tumor?,yes
notumor_017,What type of brain tumor is shown?,no tumor
glioma_007,Is this a glioma tumor?,yes
pituitary_076,What type of brain tumor is shown?,pituitary tumor
meningioma_153,What type of brain tumor is shown?,meningioma
glioma_170,Where is the tumor located?,right frontoparietal hemisphere
meningioma_211,What type of brain tumor is shown?,meningioma
pituitary_162,Is there a tumor visible in this MRI scan?,yes
meningioma_056,What type of brain tumor is shown?,meningioma
glioma_196,Is this a glioma tumor?,yes
notumor_167,Where is the tumor located?,no tumor present
notumor_204,Is this a pituitary tumor?,no
pituitary_085,What type of brain tumor is shown?,pituitary tumor
meningioma_090,Is there a tumor visible in this MRI scan?,yes
meningioma_154,Where is the tumor located?,right frontal parasagittal
notumor_032,Where is the tumor located?,no tumor present
pituitary_096,What type of brain tumor is shown?,pituitary tumor
pituitary_037,Where is the tumor located?,sellar region
glioma_221,Where is the tumor located?,right frontal lobe
glioma_096,What type of brain tumor is shown?,glioma
pituitary_209,Where is the tumor located?,sellar and suprasellar region
meningioma_085,Is this a meningioma tumor?,yes
pituitary_189,Is there a tumor visible in this MRI scan?,yes
glioma_008,Where is the tumor located?,left frontal region
pituitary_046,Is this a pituitary tumor?,yes
pituitary_009,What type of brain tumor is shown?,pituitary tumor
notumor_152,Where is the tumor located?,no tumor present
glioma_153,What type of brain tumor is shown?,glioma
glioma_143,What type of brain tumor is shown?,glioma
glioma_086,Where is the tumor located?,posterior parietal lobe
meningioma_222,Is this a meningioma tumor?,yes
meningioma_163,What type of brain tumor is shown?,meningioma
notumor_010,What type of brain tumor is shown?,no tumor
pituitary_125,Is there a tumor visible in this MRI scan?,yes
meningioma_012,Where is the tumor located?,posterior fossa midline region
notumor_158,Is there a tumor visible in this MRI scan?,no
meningioma_018,Where is the tumor located?,superior parasagittal region
meningioma_203,Where is the tumor located?,central skull base region
notumor_122,What type of brain tumor is shown?,no tumor
pituitary_134,Where is the tumor located?,central suprasellar region
glioma_242,Is this a glioma tumor?,yes
glioma_133,Is there a tumor visible in this MRI scan?,yes
glioma_045,Is there a tumor visible in this MRI scan?,yes
glioma_106,What type of brain tumor is shown?,glioma
notumor_093,Is there a tumor visible in this MRI scan?,no
notumor_061,Is this a glioma tumor?,no
pituitary_005,Where is the tumor located?,sellar and suprasellar region
glioma_144,Is there a tumor visible in this MRI scan?,yes
notumor_135,Is this a pituitary tumor?,no
glioma_073,Is there a tumor visible in this MRI scan?,yes
pituitary_165,What type of brain tumor is shown?,pituitary tumor
pituitary_231,Is this a pituitary tumor?,yes
pituitary_159,Is there a tumor visible in this MRI scan?,yes
meningioma_148,What type of brain tumor is shown?,meningioma
notumor_236,What type of brain tumor is shown?,no tumor
pituitary_025,Where is the tumor located?,sellar region
meningioma_098,Where is the tumor located?,left posterior fossa
pituitary_214,What type of brain tumor is shown?,pituitary tumor
meningioma_185,Where is the tumor located?,left posterior temporal region
meningioma_183,Is this a meningioma tumor?,yes
meningioma_230,What type of brain tumor is shown?,meningioma
notumor_026,Is there a tumor visible in this MRI scan?,no
glioma_093,What type of brain tumor is shown?,glioma
notumor_074,Is there a tumor visible in this MRI scan?,no
notumor_179,Is there a tumor visible in this MRI scan?,no
pituitary_159,What type of brain tumor is shown?,pituitary tumor
notumor_103,Where is the tumor located?,no tumor present
pituitary_018,Is this a pituitary tumor?,yes
glioma_036,Is this a glioma tumor?,yes
notumor_089,Where is the tumor located?,no tumor present
glioma_123,Where is the tumor located?,right temporal parietal region
glioma_050,What type of brain tumor is shown?,glioma
meningioma_198,Is there a tumor visible in this MRI scan?,yes
pituitary_132,What type of brain tumor is shown?,pituitary tumor
notumor_232,Is there a tumor visible in this MRI scan?,no
meningioma_115,Is there a tumor visible in this MRI scan?,yes
glioma_049,Where is the tumor located?,right frontal parietal region
glioma_219,What type of brain tumor is shown?,glioma
pituitary_110,Where is the tumor located?,sellar and suprasellar region
notumor_206,Where is the tumor located?,no tumor present
glioma_211,Is there a tumor visible in this MRI scan?,yes
glioma_146,Is this a glioma tumor?,yes
notumor_238,Is there a tumor visible in this MRI scan?,no
glioma_227,Is this a glioma tumor?,yes
glioma_158,Where is the tumor located?,bilateral periventricular region
pituitary_145,Is there a tumor visible in this MRI scan?,yes
glioma_041,What type of brain tumor is shown?,glioma
pituitary_019,Is this a pituitary tumor?,yes
pituitary_021,Is there a tumor visible in this MRI scan?,yes
meningioma_191,Is there a tumor visible in this MRI scan?,yes
pituitary_166,Is this a pituitary tumor?,yes
glioma_232,Is this a glioma tumor?,yes
meningioma_209,Is there a tumor visible in this MRI scan?,yes
glioma_137,Where is the tumor located?,thalamic posterior fossa region
pituitary_074,Is this a pituitary tumor?,yes
meningioma_048,Is there a tumor visible in this MRI scan?,yes
meningioma_250,Where is the tumor located?,parasagittal frontal region
pituitary_025,Is this a pituitary tumor?,yes
glioma_153,Where is the tumor located?,left frontoparietal region
pituitary_049,What type of brain tumor is shown?,pituitary tumor
notumor_166,Is this a glioma tumor?,no
meningioma_127,Where is the tumor located?,central midline region
meningioma_218,Is this a meningioma tumor?,yes
glioma_186,What type of brain tumor is shown?,glioma
glioma_160,Is this a glioma tumor?,yes
notumor_134,Where is the tumor located?,no tumor present
pituitary_004,Where is the tumor located?,sellar region
notumor_191,Is this a meningioma tumor?,no
meningioma_025,Is this a meningioma tumor?,yes
meningioma_121,Where is the tumor located?,right superior frontal lobe
glioma_013,Is there a tumor visible in this MRI scan?,yes
meningioma_088,Where is the tumor located?,right inferior cerebellar region
glioma_231,Is this a glioma tumor?,yes
notumor_141,What type of brain tumor is shown?,no tumor
glioma_190,Is there a tumor visible in this MRI scan?,yes
pituitary_032,Is there a tumor visible in this MRI scan?,yes
pituitary_092,What type of brain tumor is shown?,pituitary tumor
meningioma_117,Where is the tumor located?,central skull base region
notumor_161,What type of brain tumor is shown?,no tumor
meningioma_174,What type of brain tumor is shown?,meningioma
meningioma_081,What type of brain tumor is shown?,meningioma
meningioma_045,Is there a tumor visible in this MRI scan?,yes
meningioma_237,Where is the tumor located?,right frontal convexity
meningioma_054,Is this a meningioma tumor?,yes
notumor_234,Is this a pituitary tumor?,no
pituitary_134,Is this a pituitary tumor?,yes
pituitary_072,Where is the tumor located?,sellar region
pituitary_196,Is this a pituitary tumor?,yes
pituitary_170,Is this a pituitary tumor?,yes
meningioma_018,What type of brain tumor is shown?,meningioma
notumor_183,Is this a pituitary tumor?,no
pituitary_208,What type of brain tumor is shown?,pituitary tumor
pituitary_111,Is this a pituitary tumor?,yes
notumor_151,Where is the tumor located?,no tumor present
meningioma_179,What type of brain tumor is shown?,meningioma
notumor_006,Is this a glioma tumor?,no
pituitary_050,Is there a tumor visible in this MRI scan?,yes
meningioma_038,Is this a meningioma tumor?,yes
notumor_022,What type of brain tumor is shown?,no tumor
pituitary_058,Is there a tumor visible in this MRI scan?,yes
pituitary_241,Where is the tumor located?,sellar and suprasellar region
pituitary_153,Is this a pituitary tumor?,yes
meningioma_138,Where is the tumor located?,left temporal fossa
pituitary_139,What type of brain tumor is shown?,pituitary tumor
meningioma_073,Is there a tumor visible in this MRI scan?,yes
notumor_216,Is this a pituitary tumor?,no
pituitary_202,Where is the tumor located?,central skull base
meningioma_161,Is this a meningioma tumor?,yes
glioma_217,Where is the tumor located?,right posterior parietal region
glioma_232,What type of brain tumor is shown?,glioma
notumor_053,What type of brain tumor is shown?,no tumor
glioma_250,Is this a glioma tumor?,yes
notumor_006,Is there a tumor visible in this MRI scan?,no
meningioma_208,Is this a meningioma tumor?,yes
meningioma_034,Is there a tumor visible in this MRI scan?,yes
meningioma_086,Is there a tumor visible in this MRI scan?,yes
notumor_169,What type of brain tumor is shown?,no tumor
glioma_053,What type of brain tumor is shown?,glioma
notumor_245,Where is the tumor located?,no tumor present
glioma_015,Where is the tumor located?,left parietal region
notumor_168,What type of brain tumor is shown?,no tumor
pituitary_155,Where is the tumor located?,sellar and suprasellar region
notumor_225,Is this a meningioma tumor?,no
notumor_237,What type of brain tumor is shown?,no tumor
glioma_192,Is this a glioma tumor?,yes
pituitary_026,What type of brain tumor is shown?,pituitary tumor
notumor_058,Is this a glioma tumor?,no
meningioma_020,What type of brain tumor is shown?,meningioma
pituitary_165,Where is the tumor located?,sellar region left parasellar
notumor_186,What type of brain tumor is shown?,no tumor
pituitary_012,Is there a tumor visible in this MRI scan?,yes
pituitary_017,What type of brain tumor is shown?,pituitary tumor
glioma_146,What type of brain tumor is shown?,glioma
pituitary_031,Where is the tumor located?,sellar region
notumor_133,Is there a tumor visible in this MRI scan?,no
notumor_155,Is there a tumor visible in this MRI scan?,no
glioma_236,Is there a tumor visible in this MRI scan?,yes
meningioma_021,Is there a tumor visible in this MRI scan?,yes
glioma_047,Where is the tumor located?,left temporal region
notumor_027,Is this a glioma tumor?,no
pituitary_078,What type of brain tumor is shown?,pituitary tumor
pituitary_170,Is there a tumor visible in this MRI scan?,yes
notumor_024,What type of brain tumor is shown?,no tumor
notumor_205,Where is the tumor located?,no tumor present
meningioma_151,Is there a tumor visible in this MRI scan?,yes
notumor_215,Is there a tumor visible in this MRI scan?,no
glioma_057,What type of brain tumor is shown?,glioma
meningioma_154,Is there a tumor visible in this MRI scan?,yes
glioma_134,Where is the tumor located?,right frontal parietal lobe
notumor_213,Is there a tumor visible in this MRI scan?,no
notumor_054,Where is the tumor located?,no tumor present
notumor_032,What type of brain tumor is shown?,no tumor
glioma_175,Is this a glioma tumor?,yes
notumor_154,Is this a glioma tumor?,no
pituitary_094,What type of brain tumor is shown?,pituitary tumor
meningioma_195,Is this a meningioma tumor?,yes
notumor_157,Is there a tumor visible in this MRI scan?,no
pituitary_202,Is there a tumor visible in this MRI scan?,yes
meningioma_010,Is this a meningioma tumor?,yes
glioma_053,Is there a tumor visible in this MRI scan?,yes
meningioma_212,What type of brain tumor is shown?,meningioma
glioma_142,Is this a glioma tumor?,yes
glioma_079,Is this a glioma tumor?,yes
glioma_151,Is this a glioma tumor?,yes
glioma_059,Is this a glioma tumor?,yes
meningioma_066,Is there a tumor visible in this MRI scan?,yes
glioma_233,Where is the tumor located?,right temporal parietal region
notumor_056,Is there a tumor visible in this MRI scan?,no
meningioma_181,Where is the tumor located?,right superior parietal convexity
glioma_028,Where is the tumor located?,left frontoparietal region
pituitary_177,Is there a tumor visible in this MRI scan?,yes
meningioma_023,Is this a meningioma tumor?,yes
pituitary_186,What type of brain tumor is shown?,pituitary tumor
pituitary_008,Is there a tumor visible in this MRI scan?,yes
notumor_237,Is there a tumor visible in this MRI scan?,no
meningioma_186,Where is the tumor located?,left superior frontal convexity
glioma_119,Is there a tumor visible in this MRI scan?,yes
pituitary_025,Is there a tumor visible in this MRI scan?,yes
notumor_184,Is there a tumor visible in this MRI scan?,no
meningioma_197,What type of brain tumor is shown?,meningioma
notumor_070,Is there a tumor visible in this MRI scan?,no
meningioma_094,Is this a meningioma tumor?,yes
notumor_176,Where is the tumor located?,no tumor present
glioma_091,Is this a glioma tumor?,yes
glioma_034,Where is the tumor located?,left temporal parietal region
meningioma_034,What type of brain tumor is shown?,meningioma
meningioma_038,Where is the tumor located?,posterior fossa midline
pituitary_118,Is there a tumor visible in this MRI scan?,yes
meningioma_014,Is this a meningioma tumor?,yes
notumor_080,Is there a tumor visible in this MRI scan?,no
glioma_006,What type of brain tumor is shown?,glioma
meningioma_244,Is there a tumor visible in this MRI scan?,yes
pituitary_239,Is there a tumor visible in this MRI scan?,yes
meningioma_164,Is there a tumor visible in this MRI scan?,yes
glioma_174,Where is the tumor located?,posterior fossa cerebellum
glioma_106,Is there a tumor visible in this MRI scan?,yes
notumor_238,Is this a pituitary tumor?,no
glioma_116,Is there a tumor visible in this MRI scan?,yes
meningioma_017,Where is the tumor located?,right anterior skull base
glioma_022,Where is the tumor located?,bilateral frontal lobes
glioma_071,What type of brain tumor is shown?,glioma
pituitary_250,What type of brain tumor is shown?,pituitary tumor
meningioma_079,Is this a meningioma tumor?,yes
meningioma_102,Where is the tumor located?,left frontal skull base
notumor_199,What type of brain tumor is shown?,no tumor
pituitary_029,Is there a tumor visible in this MRI scan?,yes
glioma_215,Where is the tumor located?,right thalamic region
glioma_134,Is this a glioma tumor?,yes
notumor_128,Is this a meningioma tumor?,no
notumor_196,Where is the tumor located?,no tumor present
meningioma_105,Where is the tumor located?,right parietal convexity
notumor_099,Where is the tumor located?,no tumor present
notumor_043,Is there a tumor visible in this MRI scan?,no
pituitary_201,Is there a tumor visible in this MRI scan?,yes
notumor_093,Where is the tumor located?,no tumor present
notumor_235,What type of brain tumor is shown?,no tumor
pituitary_225,What type of brain tumor is shown?,pituitary tumor
meningioma_162,Is there a tumor visible in this MRI scan?,yes
meningioma_104,Is there a tumor visible in this MRI scan?,yes
notumor_228,Is there a tumor visible in this MRI scan?,no
pituitary_075,Is this a pituitary tumor?,yes
glioma_236,What type of brain tumor is shown?,glioma
pituitary_063,Where is the tumor located?,sellar and suprasellar region
notumor_227,Is there a tumor visible in this MRI scan?,no
meningioma_163,Where is the tumor located?,right parietal convexity
pituitary_054,Where is the tumor located?,sellar and suprasellar region
pituitary_062,What type of brain tumor is shown?,pituitary tumor
glioma_031,Is this a glioma tumor?,yes
glioma_222,Where is the tumor located?,left temporal occipital region
pituitary_209,What type of brain tumor is shown?,pituitary tumor
glioma_172,Is this a glioma tumor?,yes
pituitary_240,What type of brain tumor is shown?,pituitary tumor
glioma_104,Is this a glioma tumor?,yes
glioma_198,Is this a glioma tumor?,yes
pituitary_048,Is this a pituitary tumor?,yes
meningioma_143,Is this a meningioma tumor?,yes
meningioma_201,Where is the tumor located?,left occipital region
notumor_213,Is this a meningioma tumor?,no
meningioma_099,Is there a tumor visible in this MRI scan?,yes
pituitary_035,What type of brain tumor is shown?,pituitary tumor
glioma_069,Is there a tumor visible in this MRI scan?,yes
pituitary_148,Where is the tumor located?,central sellar region
glioma_131,Is this a glioma tumor?,yes
glioma_131,What type of brain tumor is shown?,glioma
notumor_060,Is there a tumor visible in this MRI scan?,no
meningioma_229,Is there a tumor visible in this MRI scan?,yes
glioma_088,What type of brain tumor is shown?,glioma
meningioma_155,What type of brain tumor is shown?,meningioma
meningioma_216,Is this a meningioma tumor?,yes
notumor_027,What type of brain tumor is shown?,no tumor
meningioma_241,Is this a meningioma tumor?,yes
glioma_163,Where is the tumor located?,right parietal region
pituitary_103,Where is the tumor located?,sellar region
notumor_111,What type of brain tumor is shown?,no tumor
notumor_176,Is there a tumor visible in this MRI scan?,no
meningioma_112,What type of brain tumor is shown?,meningioma
meningioma_239,Is this a meningioma tumor?,yes
notumor_184,What type of brain tumor is shown?,no tumor
pituitary_083,Is there a tumor visible in this MRI scan?,yes
glioma_043,Is there a tumor visible in this MRI scan?,yes
notumor_177,What type of brain tumor is shown?,no tumor
glioma_241,What type of brain tumor is shown?,glioma
glioma_237,Is this a glioma tumor?,yes
glioma_116,What type of brain tumor is shown?,glioma
notumor_107,Where is the tumor located?,no tumor present
glioma_083,Is there a tumor visible in this MRI scan?,yes
meningioma_165,Is this a meningioma tumor?,yes
pituitary_065,What type of brain tumor is shown?,pituitary tumor
pituitary_173,Where is the tumor located?,sellar and suprasellar region
pituitary_076,Where is the tumor located?,sellar region
glioma_092,Where is the tumor located?,posterior parietal occipital lobe
notumor_113,Where is the tumor located?,no tumor present
notumor_004,What type of brain tumor is shown?,no tumor
pituitary_209,Is this a pituitary tumor?,yes
notumor_032,Is this a glioma tumor?,no
glioma_194,Is there a tumor visible in this MRI scan?,yes
meningioma_072,Is there a tumor visible in this MRI scan?,yes
pituitary_135,Is there a tumor visible in this MRI scan?,yes
notumor_145,What type of brain tumor is shown?,no tumor
notumor_035,What type of brain tumor is shown?,no tumor
glioma_125,What type of brain tumor is shown?,glioma
meningioma_059,What type of brain tumor is shown?,meningioma
meningioma_129,Is there a tumor visible in this MRI scan?,yes
glioma_109,Where is the tumor located?,right frontal lobe
meningioma_063,Where is the tumor located?,right frontal convexity
glioma_092,Is this a glioma tumor?,yes
meningioma_092,What type of brain tumor is shown?,meningioma
glioma_070,Is there a tumor visible in this MRI scan?,yes
pituitary_160,Where is the tumor located?,sellar and suprasellar region
notumor_192,Where is the tumor located?,no tumor present
notumor_110,Where is the tumor located?,no tumor present
glioma_102,Where is the tumor located?,right temporal parietal lobe
meningioma_118,Is there a tumor visible in this MRI scan?,yes
notumor_091,Where is the tumor located?,no tumor present
notumor_170,Is this a meningioma tumor?,no
glioma_212,Is there a tumor visible in this MRI scan?,yes
meningioma_228,What type of brain tumor is shown?,meningioma
notumor_078,Where is the tumor located?,no tumor present
glioma_022,What type of brain tumor is shown?,glioma
meningioma_136,Where is the tumor located?,anterior skull base
pituitary_012,Is this a pituitary tumor?,yes
pituitary_018,Where is the tumor located?,sellar and suprasellar region
pituitary_092,Is there a tumor visible in this MRI scan?,yes
meningioma_213,Is this a meningioma tumor?,yes
glioma_214,Where is the tumor located?,bilateral cerebral hemispheres
notumor_240,Is there a tumor visible in this MRI scan?,no
glioma_020,What type of brain tumor is shown?,glioma
glioma_237,Is there a tumor visible in this MRI scan?,yes
glioma_050,Where is the tumor located?,left parietal lobe
pituitary_016,Where is the tumor located?,suprasellar region
meningioma_155,Is there a tumor visible in this MRI scan?,yes
glioma_201,Is this a glioma tumor?,yes
pituitary_102,Is this a pituitary tumor?,yes
pituitary_098,What type of brain tumor is shown?,pituitary tumor
meningioma_246,Where is the tumor located?,left posterior fossa
pituitary_229,Is there a tumor visible in this MRI scan?,yes
glioma_058,Where is the tumor located?,left parietal temporal region
meningioma_102,What type of brain tumor is shown?,meningioma
